Row Labels,Sum of 2013,Sum of 2014,Sum of 2015,Sum of 2016
CA,528,654,788,927
DC,11,12,13,13
GA,37,48,54,69
NM,48,60,71,86
NY,193,255,329,394
TN,51,69,88,101
